,NUM_LAYERS,NUM_PATHS,PATHS,BEATS_GREEDY
0,7,11,"[[4, 7, 14, 27, 28, 41, 42], [4, 12, 18, 24, 31, 40, 43], [1, 12, 17, 26, 28, 38, 47], [3, 8, 19, 24, 34, 36, 47], [0, 12, 20, 23, 32, 37, 44], [2, 13, 18, 21, 33, 35, 42], [6, 9, 20, 22, 29, 40, 47], [5, 10, 16, 21, 29, 38, 46], [5, 7, 20, 25, 30, 39, 45], [2, 11, 19, 22, 28, 37, 48], [3, 11, 17, 27, 32, 35, 45]]",False
1,7,10,"[[0, 13, 16, 26, 32, 36, 46], [6, 13, 14, 25, 31, 37, 48], [3, 9, 15, 25, 29, 36, 43], [1, 8, 15, 24, 33, 40, 44], [5, 7, 19, 23, 28, 40, 42], [4, 10, 20, 24, 28, 36, 47], [2, 12, 16, 24, 34, 35, 48], [2, 11, 19, 27, 29, 39, 45], [4, 12, 18, 21, 30, 37, 45], [5, 11, 17, 22, 33, 38, 48]]",False
2,7,10,"[[1, 13, 19, 22, 28, 39, 42], [3, 11, 17, 26, 31, 36, 47], [6, 12, 14, 25, 30, 38, 44], [4, 9, 19, 26, 34, 35, 45], [0, 11, 16, 24, 28, 40, 48], [2, 8, 15, 21, 28, 38, 43], [4, 13, 18, 21, 32, 41, 46], [3, 7, 20, 23, 33, 37, 46], [5, 10, 14, 27, 29, 36, 48], [2, 12, 18, 22, 31, 37, 45]]",False
3,7,11,"[[6, 13, 18, 24, 33, 40, 45], [1, 10, 17, 24, 32, 37, 42], [3, 11, 14, 25, 29, 38, 44], [1, 9, 16, 27, 30, 35, 44], [3, 13, 17, 23, 31, 36, 43], [0, 8, 20, 22, 34, 41, 48], [5, 12, 14, 27, 28, 41, 43], [4, 7, 20, 26, 30, 39, 42], [0, 7, 15, 21, 32, 38, 47], [2, 10, 15, 25, 28, 39, 46], [5, 9, 19, 26, 32, 36, 45]]",False
4,7,11,"[[6, 8, 20, 23, 31, 35, 44], [2, 9, 19, 21, 32, 36, 42], [3, 11, 15, 23, 30, 41, 46], [4, 7, 16, 26, 32, 38, 44], [0, 10, 18, 22, 33, 39, 46], [2, 10, 16, 24, 28, 40, 43], [5, 13, 17, 27, 33, 41, 43], [3, 13, 14, 22, 29, 38, 48], [1, 10, 14, 25, 34, 37, 47], [6, 9, 17, 26, 29, 40, 45], [4, 12, 17, 21, 30, 35, 47]]",False
5,7,10,"[[0, 10, 14, 25, 31, 40, 44], [3, 10, 18, 26, 30, 41, 45], [5, 11, 14, 24, 28, 36, 47], [1, 7, 17, 21, 31, 39, 46], [6, 12, 15, 24, 34, 41, 42], [2, 9, 15, 27, 33, 38, 44], [1, 8, 19, 24, 33, 37, 43], [4, 13, 16, 21, 28, 35, 43], [4, 7, 20, 23, 29, 37, 48], [6, 9, 19, 22, 32, 40, 46]]",False
6,7,10,"[[0, 7, 17, 27, 32, 36, 42], [0, 12, 15, 21, 33, 39, 47], [3, 9, 16, 22, 31, 41, 43], [2, 10, 17, 26, 31, 40, 47], [6, 12, 18, 24, 29, 36, 46], [1, 11, 20, 23, 30, 39, 45], [6, 13, 16, 26, 30, 35, 48], [4, 8, 19, 23, 31, 37, 46], [1, 10, 18, 21, 28, 38, 44], [5, 13, 20, 25, 33, 38, 42]]",False
7,7,11,"[[2, 13, 16, 23, 33, 40, 44], [1, 10, 17, 22, 28, 41, 43], [5, 9, 19, 22, 30, 36, 44], [0, 13, 18, 26, 32, 41, 42], [2, 7, 15, 27, 30, 35, 47], [1, 7, 14, 21, 33, 37, 46], [3, 11, 16, 21, 34, 35, 42], [0, 12, 14, 22, 31, 38, 48], [4, 8, 20, 25, 34, 38, 44], [3, 9, 20, 26, 29, 39, 45], [6, 10, 19, 27, 34, 40, 45]]",False
8,7,11,"[[4, 13, 17, 24, 29, 41, 43], [5, 12, 14, 25, 33, 39, 44], [6, 13, 20, 25, 32, 38, 48], [0, 9, 14, 26, 30, 36, 45], [2, 8, 17, 23, 32, 37, 46], [3, 7, 15, 23, 29, 35, 45], [2, 10, 18, 21, 28, 40, 44], [1, 10, 19, 24, 31, 38, 47], [0, 12, 16, 27, 28, 35, 43], [5, 11, 20, 21, 34, 41, 42], [3, 8, 19, 22, 34, 36, 44]]",False
9,7,10,"[[4, 7, 17, 21, 28, 37, 46], [1, 9, 15, 27, 32, 37, 47], [0, 12, 18, 24, 31, 35, 44], [5, 7, 19, 22, 30, 39, 45], [2, 13, 14, 22, 34, 41, 42], [2, 10, 16, 25, 33, 35, 43], [6, 9, 16, 24, 34, 38, 45], [3, 11, 20, 21, 34, 39, 48], [3, 13, 17, 26, 32, 36, 43], [5, 8, 15, 23, 29, 40, 44]]",False
10,7,10,"[[6, 9, 14, 25, 30, 40, 45], [4, 13, 14, 22, 29, 36, 47], [4, 8, 18, 26, 32, 39, 48], [5, 12, 20, 25, 33, 38, 44], [4, 10, 19, 24, 31, 35, 43], [0, 12, 17, 23, 34, 39, 46], [2, 11, 16, 21, 32, 37, 45], [3, 7, 15, 24, 29, 40, 48], [1, 12, 16, 26, 29, 41, 43], [3, 10, 17, 25, 28, 37, 42]]",False
11,7,9,"[[4, 10, 19, 24, 34, 38, 42], [0, 7, 17, 26, 34, 35, 45], [1, 10, 15, 21, 33, 37, 47], [6, 7, 15, 22, 32, 40, 48], [2, 11, 18, 23, 28, 39, 47], [3, 7, 14, 27, 29, 39, 46], [5, 11, 19, 21, 31, 41, 43], [5, 8, 14, 25, 30, 36, 44], [2, 13, 16, 26, 29, 36, 48]]",False
12,7,10,"[[0, 10, 16, 23, 32, 41, 44], [2, 9, 17, 24, 28, 36, 46], [4, 13, 16, 26, 28, 35, 45], [3, 12, 15, 25, 34, 35, 46], [0, 13, 18, 21, 30, 37, 48], [5, 9, 15, 23, 30, 39, 47], [1, 9, 14, 27, 33, 38, 43], [6, 7, 17, 22, 32, 37, 47], [1, 12, 16, 21, 29, 40, 42], [6, 8, 19, 25, 31, 38, 42]]",False
13,7,10,"[[5, 12, 14, 21, 30, 41, 45], [1, 11, 16, 22, 31, 38, 43], [3, 8, 15, 25, 34, 39, 42], [1, 10, 17, 23, 32, 35, 48], [5, 9, 18, 27, 32, 37, 44], [3, 12, 20, 23, 28, 38, 46], [6, 11, 14, 24, 28, 40, 47], [0, 7, 19, 25, 29, 41, 48], [4, 13, 16, 21, 34, 36, 47], [2, 7, 15, 26, 33, 35, 44]]",False
14,7,9,"[[2, 8, 17, 27, 34, 41, 47], [6, 9, 19, 26, 28, 36, 48], [3, 10, 20, 27, 33, 40, 48], [2, 11, 20, 25, 29, 37, 45], [2, 12, 14, 23, 31, 36, 43], [5, 13, 16, 21, 31, 41, 46], [1, 7, 16, 24, 32, 39, 42], [0, 12, 19, 24, 30, 38, 45], [4, 8, 20, 23, 30, 39, 44]]",False
15,7,9,"[[1, 11, 17, 23, 32, 39, 46], [2, 7, 15, 24, 34, 38, 43], [6, 8, 14, 26, 31, 39, 44], [5, 12, 15, 21, 33, 39, 45], [3, 8, 15, 25, 28, 36, 48], [0, 9, 16, 26, 34, 36, 42], [4, 11, 19, 25, 30, 41, 47], [0, 13, 20, 22, 28, 35, 47], [1, 13, 18, 27, 33, 37, 43]]",False
16,7,10,"[[6, 9, 20, 21, 32, 40, 44], [1, 11, 14, 22, 34, 36, 44], [0, 13, 20, 26, 29, 37, 42], [4, 7, 19, 22, 30, 39, 43], [3, 12, 17, 27, 33, 39, 42], [0, 12, 15, 25, 30, 38, 45], [6, 8, 15, 23, 33, 36, 46], [5, 12, 16, 26, 28, 41, 47], [4, 8, 14, 27, 31, 37, 47], [2, 9, 18, 25, 33, 35, 48]]",False
17,7,10,"[[2, 12, 15, 23, 31, 41, 47], [0, 12, 14, 21, 29, 37, 48], [2, 13, 20, 26, 33, 39, 46], [1, 7, 19, 21, 31, 36, 45], [4, 11, 16, 26, 31, 40, 48], [5, 8, 14, 22, 34, 39, 42], [4, 10, 18, 23, 32, 37, 44], [5, 7, 17, 25, 32, 38, 43], [3, 13, 19, 24, 30, 35, 43], [6, 9, 17, 22, 28, 40, 47]]",False
18,7,10,"[[2, 9, 17, 27, 34, 39, 48], [5, 12, 19, 23, 30, 37, 42], [5, 11, 15, 24, 31, 35, 45], [1, 13, 15, 25, 29, 40, 44], [0, 13, 18, 22, 32, 36, 46], [4, 10, 18, 27, 33, 40, 42], [6, 9, 16, 22, 30, 35, 47], [3, 8, 14, 21, 32, 37, 48], [4, 8, 17, 24, 29, 38, 43], [5, 7, 20, 26, 34, 41, 46]]",False
19,7,10,"[[4, 10, 15, 26, 34, 37, 48], [6, 13, 15, 24, 32, 41, 45], [3, 8, 20, 22, 30, 36, 44], [2, 11, 18, 23, 28, 37, 47], [0, 12, 15, 27, 31, 38, 42], [3, 9, 16, 25, 31, 41, 46], [1, 7, 20, 23, 32, 39, 42], [4, 13, 14, 21, 28, 40, 43], [5, 9, 17, 26, 33, 39, 43], [6, 10, 17, 25, 29, 35, 44]]",False
20,7,10,"[[2, 10, 14, 21, 30, 37, 42], [3, 8, 18, 24, 31, 35, 48], [5, 13, 20, 27, 28, 38, 46], [1, 11, 15, 24, 32, 36, 46], [0, 7, 16, 22, 29, 37, 44], [4, 8, 19, 22, 33, 40, 47], [2, 9, 17, 26, 31, 40, 45], [0, 10, 19, 23, 32, 39, 48], [1, 13, 18, 21, 29, 41, 43], [6, 12, 14, 25, 34, 39, 45]]",False
21,7,10,"[[6, 12, 15, 27, 28, 35, 44], [5, 12, 20, 23, 31, 38, 47], [0, 7, 17, 27, 33, 41, 46], [1, 13, 14, 25, 30, 36, 45], [4, 11, 18, 21, 28, 38, 45], [2, 8, 19, 27, 29, 36, 42], [3, 9, 16, 26, 33, 40, 48], [4, 9, 20, 22, 29, 39, 43], [1, 10, 18, 23, 29, 37, 48], [1, 11, 20, 24, 34, 40, 46]]",False
22,7,10,"[[1, 11, 20, 26, 31, 40, 44], [1, 8, 15, 23, 28, 37, 45], [4, 10, 19, 26, 28, 35, 43], [3, 13, 17, 21, 33, 40, 48], [2, 12, 14, 25, 31, 37, 42], [0, 9, 17, 27, 29, 39, 46], [1, 7, 17, 24, 34, 36, 47], [5, 10, 20, 22, 29, 41, 47], [3, 7, 16, 22, 31, 38, 43], [6, 8, 18, 21, 34, 38, 46]]",False
